user,EN MvSc.,EN S-BLEU,EN L-BLEU,ES MvSc.,ES S-BLEU,ES L-BLEU,FR MvSc.,FR S-BLEU,FR L-BLEU,IT MvSc.,IT S-BLEU,IT L-BLEU,RU MvSc.,RU S-BLEU,RU L-BLEU,Avg EN,Avg ES,Avg FR,Avg IT,Avg RU,Rank EN,Rank ES,Rank FR,Rank IT,Rank RU
Locchi,58.0,43.0,44.0,27.0,28.0,28.0,,,,15.0,28.0,28.0,,,,48.333333333333336,27.666666666666668,,23.666666666666668,,8,6,,7,
Nihed_Bendahman_,,,,,,,,,,,,,,,,,,,,,,,,,
WENGSYX,76.0,75.0,75.0,28.0,29.0,29.0,31.0,32.0,32.0,28.0,13.0,12.0,37.0,36.0,36.0,75.33333333333333,28.666666666666668,31.666666666666668,17.666666666666668,36.333333333333336,9,7,6,6,6
aardoiz,,,,,,,,,,,,,,,,,,,,,,,,,
chlrbgus321,,,,,,,,,,,,,,,,,,,,,,,,,
cunliang.kong,2.0,9.0,9.0,2.0,13.0,14.0,12.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,8.0,6.666666666666667,9.666666666666666,7.333333333333333,2.0,4.666666666666667,3,2,3,1,2
dkorenci,12.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,8.0,7.0,15.0,15.0,18.0,18.0,18.0,5.0,2.6666666666666665,4.0,12.333333333333334,18.0,2,1,1,5,5
emukans,15.0,25.0,27.0,3.0,21.0,21.0,1.0,13.0,14.0,6.0,14.0,14.0,8.0,15.0,15.0,22.333333333333332,15.0,9.333333333333334,11.333333333333334,12.666666666666666,5,4,4,4,3
guntis,26.0,29.0,28.0,,,,,,,,,,,,,27.666666666666668,,,,,6,,,,
lukechan1231,34.0,50.0,53.0,21.0,23.0,23.0,4.0,21.0,21.0,5.0,7.0,7.0,5.0,17.0,17.0,45.666666666666664,22.333333333333332,15.333333333333334,6.333333333333333,13.0,7,5,5,3,4
pzchen,5.0,12.0,12.0,5.0,18.0,18.0,18.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,9.666666666666666,13.666666666666666,7.0,4.0,2.6666666666666665,4,3,2,2,1
talent404,3.0,3.0,1.0,,,,,,,,,,,,,2.3333333333333335,,,,,1,,,,
the0ne,,,,,,,,,,,,,,,,,,,,,,,,,
tthhanh,,,,,,,,,,,,,,,,,,,,,,,,,
zhwa3087,,,,,,,,,,,,,,,,,,,,,,,,,
