user,EN MSE,EN cos,EN rank,ES MSE,ES cos,ES rank,FR MSE,FR cos,FR rank,IT MSE,IT cos,IT rank,RU MSE,RU cos,RU rank,Avg EN,Avg ES,Avg FR,Avg IT,Avg RU,Rank EN,Rank ES,Rank FR,Rank IT,Rank RU
Locchi,1.0,1.0,11.0,,,,,,,6.0,7.0,17.0,,,,4.333333333333333,,,10.0,,1,,,4,
Nihed_Bendahman_,7.0,9.0,8.0,7.0,7.0,8.0,9.0,9.0,6.0,8.0,9.0,10.0,7.0,8.0,14.0,8.0,7.333333333333333,8.0,9.0,9.666666666666666,2,2,2,3,4
WENGSYX,24.0,21.0,12.0,20.0,9.0,23.0,18.0,17.0,27.0,21.0,21.0,18.0,22.0,19.0,15.0,19.0,17.333333333333332,20.666666666666668,20.0,18.666666666666668,7,5,5,6,5
aardoiz,,,,,,,,,,,,,,,,,,,,,,,,,
chlrbgus321,,,,,,,,,,,,,,,,,,,,,,,,,
cunliang.kong,,,,,,,,,,,,,,,,,,,,,,,,,
dkorenci,17.0,22.0,1.0,10.0,16.0,1.0,12.0,15.0,2.0,12.0,10.0,1.0,8.0,11.0,1.0,13.333333333333334,9.0,9.666666666666666,7.666666666666667,6.666666666666667,4,3,4,2,2
emukans,,,,,,,,,,,,,,,,,,,,,,,,,
guntis,,,,,,,,,,,,,,,,,,,,,,,,,
lukechan1231,,,,,,,,,,,,,,,,,,,,,,,,,
pzchen,5.0,6.0,15.0,2.0,3.0,12.0,1.0,1.0,7.0,2.0,2.0,12.0,1.0,1.0,8.0,8.666666666666666,5.666666666666667,3.0,5.333333333333333,3.3333333333333335,3,1,1,1,1
talent404,,,,,,,,,,,,,,,,,,,,,,,,,
the0ne,10.0,3.0,28.0,,,,,,,,,,,,,13.666666666666666,,,,,5,,,,
tthhanh,,,,,,,,,,,,,,,,,,,,,,,,,
zhwa3087,19.0,19.0,10.0,17.0,15.0,6.0,13.0,12.0,1.0,9.0,6.0,16.0,15.0,6.0,6.0,16.0,12.666666666666666,8.666666666666666,10.333333333333334,9.0,6,4,3,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,zz,,,,,,,,,,,,,,,,,,,,
