user,EN MSE,EN cos,EN rank,FR MSE,FR cos,FR rank,RU MSE,RU cos,RU rank,Avg EN,Avg FR,Avg RU,Rank EN,Rank FR,Rank RU
Locchi,1.0,13.0,10.0,,,,,,,8.0,,,3,,
Nihed_Bendahman_,7.0,11.0,3.0,6.0,7.0,3.0,8.0,8.0,8.0,7.0,5.333333333333333,8.0,2,2,4
WENGSYX,13.0,4.0,9.0,11.0,6.0,11.0,1.0,4.0,12.0,8.666666666666666,9.333333333333334,5.666666666666667,4,4,2
aardoiz,,,,,,,,,,,,,,,
chlrbgus321,,,,,,,,,,,,,,,
cunliang.kong,,,,,,,,,,,,,,,
dkorenci,16.0,18.0,1.0,12.0,14.0,1.0,12.0,7.0,1.0,11.666666666666666,9.0,6.666666666666667,5,3,3
emukans,,,,,,,,,,,,,,,
guntis,,,,,,,,,,,,,,,
lukechan1231,,,,,,,,,,,,,,,
pzchen,2.0,2.0,12.0,2.0,2.0,10.0,3.0,2.0,10.0,5.333333333333333,4.666666666666667,5.0,1,1,1
talent404,,,,,,,,,,,,,,,
the0ne,10.0,5.0,23.0,,,,,,,12.666666666666666,,,6,,
tthhanh,,,,,,,,,,,,,,,
zhwa3087,,,,,,,,,,,,,,,
